rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-24,REGULAR MENU,10:30AM (11AM weekend) - Close,2927.27,532,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,TOTAL DAY,All hours,3547.38,701,Monday
1364,SEA/TCA WA CP-0024,2011-01-25,AFTER 4PM,4PM - Close,1673.08,261,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,AFTERNOON,2PM - 4PM,507.44,97,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,BREAKFAST,Open - 10:30AM (11AM weekend),789.37,197,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,DINNER,4PM - 9PM,1352.67,212,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,EVENING,9PM - Close,320.41,49,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,LATE NIGHT,11PM - 5AM,0.0,0,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,LUNCH,11AM -  2PM,1154.13,192,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,MORNING,Open - 11AM,884.36,212,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,REGULAR MENU,10:30AM (11AM weekend) - Close,3429.64,565,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-25,TOTAL DAY,All hours,4219.01,762,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-26,AFTER 4PM,4PM - Close,1585.21,272,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-26,AFTERNOON,2PM - 4PM,545.37,104,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-26,BREAKFAST,Open - 10:30AM (11AM weekend),837.84,222,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-26,DINNER,4PM - 9PM,1357.89,230,Wednesday
